,star_rating,helpful_votes,total_votes,review
271,5,1,1,"Five Stars took off rust under turntable with dremel motto,<br />then applied three coats ann hour apart<br />VERY HAPPY"
272,5,0,0,Five Stars Love the microwave. It works great and adds such style and flare to our kitchen.
273,4,2,3,Can't go wrong with this microwave! This model is a newer version of one that we had for many years. It fits perfectly in the custom cabinetry that we have. It looks great and functions really well. We're very happy with this purchase!!
274,5,1,1,"Five Stars Fantastic, love this little bastard.  Saves my counter space and looks great."
275,4,7,7,"Very happy, looks great in my kitchen and easy to use. Installed easily.  So far I've baked a chocolate cake and cookies with convection method. Both turned out perfect. Microwave works as I expected."
276,5,1,2,"Dandy unit. Everything we wanted in a microwave.  All black looks better than just black face.  Has the 30-second add-on feature which we both like.  Slides around, but that can be remedied with non-slip material.  Has a nice &#34;lip&#34; at bottom so can be clasped while pressing buttons or starting which prevents slipping in the first place.  Great price for product--but time will tell for sure."
278,4,0,0,Good Quality So far I like this microwave.  It seems like good quality materials and also well put together.  It's doing a great job efficiently heating.
280,4,0,0,i would of like more selection in the Exactly what i was looking for. i would of like more selection in the color
281,2,1,4,"Will not work in OTR vehicles! what a huge waste of money!  We bought this microwave specifically because it would fit into the little compartment of my husband's OTR truck.  We've never had issues getting a microwave to work in the truck before... and to make matters worse when my husband called their posted phone number for assistance he kept getting passed around from one 'um, I don't know' person to the next.  We would have returned the microwave IF he hadn't already put it in the truck and left from home BEFORE he discovered that it doesn't work on the power source (why not... we still don't know).  Looks like he puts back in the too large microwave and has to take it out and set it on the bunk in order to make a meal.<br /><br />We gave it a 2 because it is the perfect size and it DOES work if you want to use it in a house, but for some reason will not work with the power inverter OTR trucks use."
282,3,3,3,"Ok, but some options are limited and the instructions are somewhat obtuse. Works fine, but somewhat lacking in some features.  The defrost selection begins at  1/2 lbs..  In a single person household, I often need to defrost smaller amounts.  I buy packages of pork chops, vegetables, etc. and split them up into small packages and freeze them.  Also, my previous microwave had a 30 second time add feature which I used more often than the 1 minute add feature on this microwave.  One minute is often longer than I need and if 30 seconds is too short, I could always push it more than once.  That microwave also had several fan speeds and light options.  The lower fan speeds were useful when I didn't need the higher speed and reduced the rather irritating high speed fan noise.  These restrictions are mostly just somewhat irritating and, overall, I'm not dissatisfied with the unit.  I also found the installation instructions somewhat difficult to follow. Mainly, I had a few parts that didn't seem to go anywhere.  My previous unit (different maker) only lasted 4 years which was a disappointment, I hope this one lasts longer."
283,5,0,0,Five Stars Everything was perfect!
286,4,1,1,Four Stars Excelent thanks
287,5,0,0,I'm very happy with this purchase Was drawn to this one after reading all of the positive reviews! They were spot on! I'm very happy with this purchase!!
288,1,5,6,TREMENDOUS HEAT ON THE LEFT SIDE AND BACK.  DANGEROUS! THIS GIVES OFF A TREMENDOUS AMOUNT OF HEAT ON THE LEFT SIDE AND THE BACK.  Simply touching the left side casually after it completed a fast heat cycle left a burn on my forearm.  I then felt around the unit without touching and found the right side cool the top reasonably so and the back burning with heat.  Since this is a countertop unit and the side will be exposed in most applications my experience is that this unit is dangerous!  Especially if you have children.  I am returning it immediately.
290,5,0,0,Five Stars Worked great. Looks like a new microwave.
291,1,1,2,"Do Not Buy This Microwave This has to be the worst microwave I have ever purchased. It arrived without the internal clock, it is completely missing, so obviously it didn't function out of the box. And I can't get a replacement for another week, this is awful. I know microwaves are just a convenience but having just moved we don't have one and this was timed to arrive just in time for our new home. Total disappointment in both the product and Amazon."
292,5,0,0,Five Stars Nice product for the price.  Delivered quickly.
293,5,0,0,"Five Stars Awesome microwave, seems much expensive than i paid for it!"
295,4,10,11,I need a better finished bottom I did not care for the way the bottom of the microwave was not finished.  I need a better finished bottom.  The filter on the bottom does not fit in tightly enough.
296,5,8,8,"Fits exactly as the other reviewers measured It fits perfectly under my cabinets - the measurements given by everyone are accurate! I was terrified this would blow the ancient fuses on my already electrically overtaxed retro apartment, but it runs with just a small dimming of lights. WHEW. It heats nicely and is quite spacious. The only annoying thing is that start/stop are the same button, but &#34;cancel&#34; is a tiny button near the top of the panel. So often I go to clear the screen from leftover time and end up starting the darn thing again. I am used to cancel/stop being the same button! I'll reprogram myself. In the meantime, I love it.<br /><br />Side note: There is a cardboard-y thing stuck to the side of the microwave which is not mentioned in the other reviews or in the manual - LEAVE IT THERE. If you go to the manufacturer's website, you can find out it's a mica panel to protect a vent. It's tempting to toss it because it looks out of place with the rest of the shiny chrome, but just leave it."
297,5,0,0,"bought along with the GE microwave is just fine. Not large enough to fill the gap in ... Trim kit, bought along with the GE microwave is just fine. Not large enough to fill the gap in the kitchen cabinets since it is replacing the large size GE Advantium built in microwave. Had to get cabinet installer to fill the gaps between the cabinetry and trim kit. Looks fine. Is perfect if the area you are using it in is the exact same size, so watch out for that."
299,5,0,0,Works great! Doesn't take up the whole counter Big enough for a plate of food.  Works great! Doesn't take up the whole counter.
300,3,0,0,Three Stars smaller than your average microwave
301,5,0,0,"Very Satisfied Great price, 1000 watts Works perfect"
302,4,0,0,I would have given it five stars if there was ... I would have given it five stars if there was a handle on the door to grab on to so that's why I decided to give four stars.
303,1,1,1,One Star Does not work will be sending back
304,4,0,1,"Four Stars Fit perfect in cupboard, nice sleek design..easy to clean..haven't used the grill part yet but expect I will soon."
305,1,0,0,One Star Missing the turnable shaft. Can't use it without this part. Will alter feedback once problem is resolved.
307,1,0,3,"Not recommended unless you like wasting your time and not having ... Unit defective upon arrival, could not be repaired after two attempts and numerous phone calls to Samsung.  Not recommended unless you like wasting your time and not having a microwave for a month after purchase."
308,5,0,0,Five Stars Met my needs
309,1,2,3,Don't waste you money The only thing it did was cover the spots .  When I turned the microwave on it sparked.  I had waited 24 hours.  It is a GE mstainless on the out side.  Wasn't cheap and was a gift.  Suck it up and buy a new one.
310,5,0,0,"Good price great product good Price for good product<br />The price was right and now after some three months of use, I've not had any problems with it"
311,5,0,0,Five Stars the paint did a great job. would buy again.
312,5,0,0,Five Stars Nice
313,3,0,0,"value for monet I got a good bargain on this. Looks good on the countertop. Though small in size with limited power, It works perfectly well and serves the purpose."
314,5,0,0,"Good smaller microwave. So far, so good. I've been using it for about a month, it is a smaller size and less oppressive in my small kitchen. Intuitive controls. No complaints."
315,5,2,2,Very nice small microwave Very nice small microwave! Small footprint but still powerful enough. Also good for putting it on a higher place - like on top of the fridge - all the controls are at the bottom part.
316,4,0,0,"Turn table motor works well. Only problem, it ... Turn table motor works well. Only problem, it only reverses counter clock wise at random.  Doesn't automatically reverse direction at every start."
317,5,2,2,Great design. Compact and efficient Great design.  Compact and efficient.  Easy to use.
318,4,0,0,... cook and reheating and it does both jobs just fine. We have only used for quick cook and reheating and it does both jobs just fine.
319,5,0,0,"Five Stars Love it! Just as described, works great!"
320,5,0,0,"Five Stars e z fix fit perfectly, worked great"
321,5,1,2,"Awesome on all points. Fantastic microwave. I bought it to replace a PoS GE micro that failed in less than a year. Very powerful, very intelligent settings and very attractive."
323,1,24,29,"The older model worked fine until I melted it with a small kitchen fire ... I bought this unit to replace an older LG model that was discontinued.  The older model worked fine until I melted it with a small kitchen fire (naturally the one time I disconnected the smoke alarm).  The new model arrived quickly.  I got a friend to help install it.  You'll need a friend  -It's too heavy for you to hold it up with one hand while you screw the bolt on with the other.<br /><br />I gave it four stars in my initial review but I'm changing it to one star because after only a couple of months, the microwave's fan and interior lights would go on sometimes when I closed the oven door.  But if I opened and gently closed the door again, it'd turn off.  It's been about six months since I first installed this oven and this problem is becoming frequent.  Today, my son texts me from home that the microwave won't turn off no matter what he does so I told him to leave the door open and when I get home tonight, I will disconnect it so it doesn't burn the house down.  A microwave oven is supposed to make our lives more convenient,  not fill us with dread that it can start an electric fire.  Checking on the internet, it seems that this is not an uncommon problem.  It's probably not going to be covered by warranty.  And how do I get it to the manufacturer?  They aren't going to pay a repairman to make a housecall for a lousy microwave oven.  If I pay for shpping both ways, I might as well buy a new microwave.  Lessons learned:  I will buy appliances from a brick and mortar store whose return/service policy I understand and I will not use an over-the-range microwave again."
325,5,0,0,Five Stars Works as advertised!!
326,5,0,0,awesome! My old microwave is going strong! Planned obsolete is no longer going to take me over. Paint works great. Prep took a while as old paint may not like the new paint and bubble. So prep!
327,5,0,0,Five Stars Really nice fit and finish STAINLESS INTERIOR wipes clean GET IT
328,5,0,0,Fantastic!!! Perfect size. And it works great.<br />I love it..
329,4,0,0,HAVE HAD THE MICROWAVE FOR ABOUT A MONTH NICE SIZE AND WORKS VERY WELL AND QUIET SHIPPING WAS ... HAVE HAD THE MICROWAVE FOR ABOUT A MONTH NICE SIZE AND WORKS VERY WELL AND  QUIET  SHIPPING WAS A LITTLE SLOW DUE  TO BEING OUT OF STOCK BUT SEEMS TO BE A GOOD PRODUCT MADE HER IN  USA  FROM WHAT THEY SAY ....
330,5,0,0,"Perfect  ! This is exactly what I was looking for . Not too large but will hold a dinner plate . Heats food well. Love the Express Cook feature, simply push  1,2 ect for however many minutes you want, it starts , runs till finished. Also like the fact display goes back to clock time instead of saying END like my previous one. Could not be happier ."
331,2,1,2,"Don't waste your money. Loved this when I first got it, purchased after reading really great reviews. However, I noticed that the top got really hot, and several weeks after purchase it got so hot that it shut itself off! This didn't happen again, so I kept it, until a month and a half after purchase I went to open the door to put a cup of coffee in and the top part of the handle broke- saw a piece of plastic shoot across my counter. I am returning and getting another brand- not going to waste my money on another of these cheap pieces of equipment."
332,5,0,0,"It has all the right features It has the 3 things I cared about - a light that goes on when you open the door, a quick one touch feature (30 seconds) plus single minutes, and it is the right size and power for my uses."
334,1,0,0,"Junk micro and junk seller Absolute piece of junk from an unsavory seller. Do not buy this microwave. It was refurbished and I didn't know. The cord had been &#34;trimmed&#34; by the previous owner so it could fit through a hole, quite a surprise. Didn't come with templates to install, had to buy separate. Door closes way too hard and noisy.<br /><br />And now it's dead one year later! I had my previous microwave for 9 years.<br /><br />Total junk. Wish I could give the microwave zero stars."
335,4,0,1,"Looks good works well I just got the microwaves yesterday and will add more when I know more.  BUT so far it is good. I like the look and the ease of use.  I cannot wait to try the grill feature.  The grill feature does make it heavier, but not too much.  Also when comparing microwaves remember to look at the wattage as this is a bit lower than some and so cooking times will be a bit longer."
337,5,0,0,Five Stars Works great for the price!!
338,5,1,1,"perfect for limited counterpane in a small Innovative shape, perfect for limited coutnerspace in a small apartment"
339,4,1,1,"So far... ...it's been very good. It replaced a much larger unit but this is a much better size. Different controls of course but they're acceptable. The one time I used the dinner plate feature, it was spot on. The reason I knocked off one star (considered two) is because the turntable ring and plate dislodge easily if a heavy object is slid across or not centered when setting down."
340,5,0,1,Five Stars I like how it doesn't allow finger prints
341,5,0,0,"Great product Love this microwave!  Perfect size for our office counter, works very well and looks nice."
342,1,1,26,"Cord too short The cord isn't long enough, so I have to pay more money for a longer cord."
343,4,0,0,"nice size. Solid, nice size...working fine so far.  Good price and quick service."
344,4,0,0,"Nice microwave for a good price This is a very nice microwave at a great price! I wish it was 1,100 watts instead of 1,000. That little bit does make a difference! The only thing I can say is a slight negative is the noise on start up. It is kinda loud. But I would definitely recommend this microwave!"
345,5,1,1,"Five Stars The buttons are hard to push, but otherwise, it's just what I wanted."
346,4,0,0,Does the Job I like the performance of this microwave.  It was bought after our other one caught on fire.  It fits perfectly on the counter in the corner.  The only problem with it is the button for the door.  It is very stiff and hard to push.  I thought it was just me but my husband complained about the same thing.  It's not enough of a problem for it to be returned.
347,5,0,0,Five Stars Everything as expected. Installed the magnetron and diode by following videos on YouTube and everything is now working again.
349,5,0,0,Five Stars Perfect for a countertop.
350,5,1,1,"Good, cheap microwave! Good, cheap microwave!  I was able to tuck this into a cabinet which is great, since I do not like a lot of clutter on the counters.  No complaints!  Works as expected.  For what it is... a 5/5 stars."
352,3,0,0,"I can't speak to the good qualities it may have I purchased this for a gift and didn't open the box. The recipient informed me that it was defective.  The door wouldn't close. I chose to have it repaired locally, as it was heavy for me to take to PO.  Needless to say, it discourages me from ordering large objects through Amazon.  I can't speak to the good qualities it may have.  I just wish the quality control had been better."
353,5,1,2,love the microwave Perfect fit. I went to several appliance stores locally telling me I couldn't get one to fit. Love the look and bot microwave and convection  wok great.
355,5,0,1,Amana 1.5 cu ft Over Range Microwave Great product at a good price and easy to install.
356,4,0,0,"and it would also be nice if it had one of those buttons to press ... Had it for a while now, so far no malfunctions. Decent size. I do wish it was a little quieter - the beeps are very loud, and it would also be nice if it had one of those buttons to press to just add 30 seconds to the current timer count, but overall pretty good."
357,1,2,2,Cheap Broke in less then 60 days
358,4,0,0,"Good stuff Entry level, small and powerful. Was here in 2 days with prime. Best way ever to shop. Recommend both the microwave and Amazon prime!!"
360,2,1,2,"Not for the Inverter use. If you want to use on your truck, this is not the one. I bought for my father-in-law's truck. In terms of its size, it was perfect fit for the truck with inverter built in but as other people described, it's not working properly with the inverter. I think it will work normally with normal AC but not through the inverter. The inverter was rated as 1500W. So $50 inexpensive microwave works better than this one. I had to return it. :("
361,5,0,0,"Very High Value for a Small Kitchen Area. Perfect for my needs (compactness, appearance and performance). A very high quality product."
362,1,1,1,You can find better products in the store at lower prices Very small. You can find better products in the store at lower prices.
363,1,14,18,"Disappointed Looks good, only worked a week. First - timer would work but no heating occurred, next dy everything looked like it was good ( lit up, revolving, timer working) but food temp was not changing. Cancelled replacement and have NOT been refunded."
364,4,0,0,Covered well prep was most work One can did the ... Covered well  prep was most work<br /><br />One can did the entire cavity
365,4,1,1,Great little micro Adorable and it works great. Not as powerful as my old one but the added counter space more than makes up for it. My covered Corningware fit in it perfectly but my plates don't. a standard 11&#34; plate fits mine are 11.5. not a big deal for me but if you reheat on plates you should measure them.
368,5,0,0,"Five Stars Compact, stylish and very efficient. Wish it was all stainless steel."
369,4,2,9,First time I've purchased an appliance through Amazon. They ... First time I've purchased an appliance through Amazon. They delivered it on it's SIDE for some reason (I guess the arrow pointing up was confusing?) but it works nonetheless.
370,5,0,0,This microwave is fantastic. It fits into the corner of the countertop ... This microwave is fantastic.  It fits into the corner of the countertop which I consider the dead space.  I am unable to reach most things placed in this space but the microwave is perfect.  I have more counter space.  I would rate the performance a 15 out of 10 because it's so great.
371,5,0,0,Five Stars As Advertised
372,4,0,1,microwave It is a fine microwave but I am not that happy with it.
373,2,0,5,Not recommended for anyone who is looking for fast action product Working but you need to set extra time to get your food warm up. What I normally warm up in 30 seconds when I had GE microwave oven now takes 1 minutes and 30 seconds to warm. I could have return it but I don't want Amazon to tag me as product return guy! Not recommended for anyone who is looking for fast action product!
374,5,0,0,Five Stars Good value for money. Satisfied
375,5,0,0,"Moderately priced microwave Fits into my cabinet space perfectly, glass rotating plate does not shift as my other microwave did. A good deal"
376,4,0,0,Great Like it very much- heats evenly and easy to use.
377,5,0,0,Five Stars very good works great
378,1,0,0,"Doesn't work. I loved the price on this microwave. So did my 90 year I'll grandfather.  We bought it and he was excited to have back the way he can cook most of his meals. Sadly though, half of the button do not work. He can not set the clock or defrost... I offered to try and return it, but he needs it to cook, and it can do that I guess. But I don't recommend this product at all."
379,3,0,3,big and bigger Very large and over priced! What happened to the small cube microwave?
381,1,1,1,Broke after barely any use. It quit working one month after the date I could return it.  I had been out of town for 6 weeks after I bought it so it was barely used.
382,5,0,0,Five Stars Very nice and useful product
383,5,0,0,Five Stars Got it quickly & it works great
384,1,1,4,"One Star Terrible product, broke down after one month of light use.."
386,5,0,0,"Five Stars It is just the right size, it doesn't crowd the space!"
387,4,2,3,"good for the price For its price it's a good little microwave. It does slide when I try to open it since it's very lightweight and doesn't have any rubber feet. The inside is smaller than I'm used to, but I knew that when I purchased it. I was looking for small to fit in a smaller space. I don't use it to really cook only reheat so it totally meets my needs. I only gave it 4 stars because it slides across the counter when I open the door. Hopefully, I can add some rubber feet to stop this."
388,2,2,2,"Stylish but not reliable, poor customer service as experienced by many others Several Samsung appliances looked interesting (features/appearances) when we were upgrading our appliances. Then I found a problem after diving into the customer reviews - the overall ratings are good, but for customers who give them low rates have catastrophic failures, e.g. smoking induction ranges, more than other brands.  We decided to stay away from Samsung brand for our major purchases. As we got most of our appliances sorted out, we still need a microwave. This one, again, looked interesting. I thought ok how bad can it be? Its neither too heavy nor too expensive, let's take a risk on this one. But I was wrong.  Long story short, after one month, the turntable starts to make noise. After 3 repair attempts over several weeks, we were left with the turntable not turning at all. To add to the insult, these 3 repair attempts don't even register in Samsung's system, so even if the lemon law is more and more applicable to my case, I would have trouble claiming it.  Based what I found after taking apart of our broken Samsung TV, I think the company put too much emphasis on using their own components, and some of them are not very good. That could be why we are seeing a pattern of reliability problems across its product lines."
389,5,0,0,"Perfect for me! I love this little microwave!  I previously owned a large Panasonic 1250w monster that was awesome, however, after it unceremoniously died after only a couple of years, I was looking for something that wouldn't quiet eat up so much counter space.  After coming across this one, I was a tad reluctant to pull the trigger on this little guy for a couple of reasons: #1 - What if it was actually TOO small? & #2 - It didn't have the crazy power of my last one & I'm impatient.  Alas, I bit the bullet & have been VERY happy with it ever since!  I've realized that I never actually *cook* dishes in the microwave (totally not counting late night Easy Mac liaisons), so it's actually perfect for me for heating up leftovers, making popcorn, heating up water, etc.  I was pleasantly surprised that even with less power than my last, I still don't feel like I am waiting any longer to get my food hot.  It was a little weird not having a number pad to select a specific time for about a day; now it's no big deal at all.  I usually just press the start button a few times, getting the time up to whatever I want it to be & let it go.  I would highly recommend this microwave for anyone who has similar usage as I, as well as someone who wants to free up some room in a small kitchen."
390,2,3,3,"Short Lived Was extremely happy with the performance of this oven while it worked, however after only 4 months of moderate usage it stopped working completely: it made a loud droning sound, followed by the smell of electrical burning, and then would no longer would heat up anything. I would also note that the mechanism to open the door is annoying- it is located under the control panel and it would be better to have it on the door handle."
391,5,0,0,"good quality Arrived in well conditon, good quality product"
392,5,0,0,Five Stars it works
393,1,0,0,"Very low quality We have had this microwave for 2 months. It makes the scariest noises, like there is metal in it but there is not. The plate also does not spin properly. Very low quality. Go with a brand you trust!"
394,5,0,3,"I love it However I had to return it and Repair ... I love it However I had to return it and Repair my old one as the DOOR Hinge did not Allow for flush placement on Left side, as its in a RV and thats the way RV MFG installed it"
395,5,1,1,"Great Microwave, for a Super Price We love our new microwave! I have absolutely nothing negative to say about this machine. It works great, and was delivered speedily. Thank you, Danby, for an affordable microwave that really works well!"
396,5,1,1,"Very good paint II had the same problem that many people do with the GE Caf&eacute; microwave. The paint was peeling off after a couple of years and GE would not stand behind their product so I bought this paint and masked off the interior's good areas sanded and prepped and cleaned real well and sprayed a couple of coats. Sprayed really nicely, covered well, not easy to run unless you really squirted in one place for too long. Dried quickly, minimum odor, nice sheen looks like new. This was a good fix although I think it's probably temporary because the product problem was endemic to the unit and will probably continue to flake off but I'm hoping that using this bought me a couple more years. The product came quickly and I was very happy. I would only wish that there was a little bit more in the can but for what it's advertised for it's perfect."
397,3,0,0,Three Stars there were some issues about the exact measurements. other than that it fit well.
398,3,0,0,"Nice looking microwave Nice looking microwave. basic features, no 30 seconds key, but no big deal. The only complaint that I have is after it finishes, it will constantly beep until you open the door or hit any key, otherwise it will keep beeping 3 times forever every 30 seconds."
400,5,0,0,"Works great Better than what's available at Sears, works great, easy installation (I didn't like the black center as it doesn't match our kitchen, but for the price I'm living with it...)"
401,2,3,3,"mositure gets trapped and cause bad smell. Microwave functions as expexted but the inside smells bad. I think it's because the steam from food gets 'trapped' inside. After some use, I can see that the door has moisture droplets. I think this is what cause the bad smell. My old microwave of ten years never had this problem. With this one, I have to leave the door open after use, and have to clean the inside frequently. I didnt have to do any of these for my old one. Will not recommend this microwave."
402,5,0,0,Five Stars This kit fixed my microwave and it arrived before the weekend.
404,5,0,0,Excellent Excellent microwave and excellent convection oven combined in one compact unit.
405,5,1,1,great appliance. Works great not loud at all and small enough for my small kitchen. Affordable price and shipping was fast.
406,3,0,0,"Ok but little Really short from top to bottom; lots will not fit.  That is probably my fault; measurements are probably in the description.  But, the glass round tray comes out every time we use it, and it very hard to put back in to rotate properly."
407,5,0,0,Five Stars Worked perfectly. No issues and fast shipping.
409,5,0,0,but it delivered good results. i think it met and exceeded my expectation.You need atleast 2 to paint the entire microwave ( 2 layer).I am new to this ..but it delivered good results.Thanks
410,4,0,0,Nice size. My niece was thrilled with the microwave being delivered to her door.  Nice size...works great!
411,2,2,2,"Maybe I got a lemon The microwave did a good job of heating, but had enough problems that I sent it back after 4 days.<br />1. It blew the circuit breaker, which had held up to other microwaves of similar power for years.<br />2. When starting, it made a worrisome bumping noise.<br />3. The spindle rotating the plate often made a grinding sound.<br /><br />Amazon & UPS get 5 stars for making it easy to return."
412,5,3,4,"Great Appliance We bought this unit for a remodeled high end kitchen.  I has been installed for approximately six months and we are extremely happy with our purchase. No issues whatsoever. I love the easy automatic open/close feature and not having to bend down to put items in the microwave. The unit holds much larger plates and platters than I was able to put in my former microwave, which is really nice. It also has many useful features such as a sensor that can tell how much an item needs to be heated to be ready. As this was part of a kitchen remodel I simply told the product number to our kitchen cabinet company and they made the cabinets such that it would fit in perfectly as a built in.  The item fits in well with our suite of other stainless steel appliances.  No complaints. I highly recommend."
413,5,0,0,"Fantastic Microwave Fabulous oven, great price, so easy to use!  Really glad I found this - have the 4.4 cu ft all refrigerator on it's way too!"
414,5,1,1,"Works great! Sorry for the delay Works great! Sorry for the delay; I just got my microwave working today (2-25-15). I was not certain if it was the magnetron and diode  causing the problem, but since the magnetron (in my oven) was 10 years old, I figured that might be the problem. However (after installing the new kit) my General Electric (JEM31WA  002) was still not functioning. So, I ordered new door switches (and after checking my old oven switches) I learned that the &#34;bottom&#34; (Normally open) door switch was not functioning. So, I changed it out, and &#34;voila,&#34; my microwave is functioning perfectly! It took some time, but it is worth it! I don't regret changing out the magnetron and diode (as my old ones were probably on their way out, anyway! (I had not troubleshot  the old magnetron tube. If they are still in working order, perhaps I can use them again, later! My most gracious thanks go out to Martin Microwave Inc. and Amazon; PRODUCT WORKS VERY WELL INDEED!"
415,1,0,0,One Star Very small and very low power. Takes forever to heat anything up.
416,4,0,0,"Very nice microwave. I only use it to reheat things Very nice microwave.  I only use it to reheat things.  SIze is nice, does not take up much counterspace."
417,3,1,1,"Cute, affordable and durable.. just weaker wattage ... Cute, affordable and durable.. just weaker wattage than any microwave I've used. Also doesn't fit a standard size dinner plate."
418,5,0,0,The machine is attractive and is performing within the range ... The machine is attractive and is performing within the range of all advertised claims and meets expectations. The control logic is intuitive and practical.
419,4,2,3,"Great for microwave purposes Great for microwave purposes, looks great and easy to clean.  Grilling, didn't seem to work well as shown.  Maybe practice makes purpose.  Dont throw away the instructions if you want to try other cooking methods."
421,3,0,0,Noisy and hard to open but I needed a smaller ... Noisy and hard to open but I needed a smaller microwave with a somewhat higher wattage.  The wattage isn't quite what is advertised but okay.
423,4,1,2,"The largest smallest microwave Really great microwave. Since living in an apartment in NYC meant small kitchen space, we needed something to fit accordingly. This microwave was the largest smallest microwave! Perfect for our usage - simple, functional and good value. This microwave is rather quiet-- love that the beeping noise ends after a few distinct beeps. My old microwaves beeps forever.<br /><br />Easy setup, easy usage and easy clean up."
424,5,0,0,"Great for small kitchens! Love this microwave! I have limited space in my kitchen, it slides perfectly in the corner!"
425,1,2,2,Do not purchase Try a different brand. I bought this in August and it shorted out in February.  It was nice while it lasted but has a dangerous flaw. Do yourself a favor and look elsewhere.
426,5,0,0,Five Stars one of the best micro-waves I ever had
427,3,1,1,Adequate for intended use Larger footprint than expected for such a small microwave.  Appears to be functional enough.
428,5,3,3,I love this microwave I love this microwave. I only require quick reheating or a baked potato every once in awhile. It's the perfect size!
429,5,1,2,Five Stars Love my new microwave.  It looks great and works great too.  Love not having the microwave on the counter!
430,5,0,0,"Five Stars Great service, very good for a small and compact microwave. Very reasonable price"
431,5,0,0,Amazing for the price Heats fast. Reliable. Amazing for the price!
432,4,0,0,"Good quality product and good price Good quality product and good price. The button to open microwave door is very hard to push, I'm sure it will get easier with use."
433,5,1,1,Looks 100% better in person and much bigger Delivery was on time the microwave look great more better then the picture and very good size very happy with this microwave
434,1,0,0,Didn't work! I got the product out of the box and it doesn't work. It will do everything but heat up inside. I need to ship it back but between work and school there's no time. I will just ask for my money back.
435,3,0,1,"it probably works better than the Oster OGB8902-B0 I never got this item even though I examined it and placed and order for it of wehich I cancelled, it probably works better than the Oster OGB8902-B0.9 That I got instead but has electronic problems."
436,5,0,0,"Five Stars Good product, stainless inside is easy to clean with rounded corners. Designed well."
437,3,0,0,Three Stars Good value for basic microwave
438,3,1,1,"A bit noisy when running and the box and unit ... A bit noisy when running and the box and unit was damaged in shipping, though not affecting functioning.  Holding up well at the moment."
439,2,1,1,Item arrived damaged. At that point return of item ... Item arrived damaged.  At that point return of item became a issue.
440,5,1,1,Five Stars Very simple to operate for my grandmother.
441,5,0,0,"Saves buying a new microwave. Looks good, and seems to be holding up a couple of months later."
442,5,0,2,Great Buy! I gotta say... This microwave looks slick in my kitchen. Nice LED display... Sleek metal Samsung look... Goes nice with my new Samsung Washer and Dryer set ;) Also works great and the controls are laid out intuitively!
444,5,0,0,Five Stars Decent size and good finishing. Works great!
446,5,1,1,MORE THAN A COSMETIC PAINT I had a small paint chip on the inside that would spark because bare metal was exposed. A couple of coats of this paint saved the day. It has a use that is far more than cosmetic. It saved me about $175 because I did not have to buy a replacement microwave of similar quality because I did not trust using a paint that was not microwave friendly.
447,4,0,0,Four Stars Good unit but a rough sound when operating.
449,5,0,0,"Wonderful finish! Glad I made the purchase and saved myself from buying a new microwave. WOW- my microwave looks like new! This paint is very high quality and covers very well. I needed only 1 coat but did 3 coats just to use up the can because if I ever need to paint this old thing again, its probably gonna be time for replacement."
450,5,0,0,"Excellent microwave! We had very limited counter top space ... Excellent microwave!  We had very limited counter top space and didn't want to take up a lot of that precious space with a full-size microwave oven.  This product fit the bill perfectly.  It's been working great for several months now, no complaints at all!"
452,2,1,11,Never again... Arrived Damaged and needed to use immediately...
453,3,0,0,"Meh This microwave is whatever. It heats up your food, but that's about all it has going for it. The bottom three numbers don't work. They never have since I bought it. Also, the paint is already chipping on the bottom inside. It's really compact though, so it's a good choice if you have limited counter space."
454,5,1,3,"Custom Looking Built-In Microwave That Works Great! I purchased this drawer microwave from Amazon for a new custom designed kitchen we were installing in our home.  My wife couldn't understand why I wanted it because she had never seen one before and didn't think the whole &#34;drawer thing&#34; was a good idea.  She eventually (reluctantly) agreed because she didn't want a microwave to go over the stove and there were no other good options for our kitchen design.  Once it was installed, she said she liked the looks of it (built into the island).  Everyone else that has seen it really likes the way it looks also because it's kind of unique.  When my wife used it the first time I don't think she wanted to admit I actually had a good idea but the drawer microwave works perfectly and it's easy to get cookware in and out since it's waist high with the door open.  My adult son used the &#34;sensor reheat&#34; button on a restaurant leftover meal he was warming up to eat.  The feature evidently &#34;senses&#34; the air inside the microwave as the meal is cooking and stops automatically when it's ready.  Pretty cool feature!  I love the microwave.  It adds to the custom kitchen design look and it works great.  (I think my wife even smiled one time when she used it)"
456,3,4,5,The microwave/oven features are great. Very easy to use and looks great Steel case was damaged on back side.  Was able to us because it was hidden when installed under cabinet.  The only complaint about the unit itself is the stainless steel interior gets scotched from the glass turntable plate unless you rare VERY careful.  The microwave/oven features are great.  Very easy to use and looks great!
